qubits,states,classical_worst_case,grover_iterations,theoretical_grover,success_probability,simulation_runtime_seconds
2,4,4,1,1.5707963267948966,1.0,0.03658809999978985
3,8,8,2,2.221441469079183,0.935546875,0.016416300000400952
4,16,16,3,3.141592653589793,0.94921875,0.017789499999707914
5,32,32,4,4.442882938158366,0.9990234375,0.027493800000229385
6,64,64,6,6.283185307179586,0.99609375,0.03451580000000831
7,128,128,8,8.885765876316732,0.99609375,0.04655490000004647
8,256,256,12,12.566370614359172,1.0,0.07606450000002951
9,512,512,17,17.771531752633464,0.9970703125,0.10181180000017775
10,1024,1024,25,25.132741228718345,0.998046875,0.13726459999998042
